Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0850,10/04/2019,10/06/2019,OPC*NJM Insurance,Bills & Utilities,Sale,-144.00,
0850,10/05/2019,10/06/2019,CRICKET WIRELESS,Bills & Utilities,Sale,-100.00,
0850,10/05/2019,10/06/2019,DUNKIN #339397 Q35,Food & Drink,Sale,-2.55,
0850,10/04/2019,10/06/2019,US Mobile,Bills & Utilities,Sale,-8.57,
0850,10/03/2019,10/04/2019,SEARS WARRANTY,Bills & Utilities,Sale,-53.30,
0850,10/03/2019,10/04/2019,ITALKBB,Bills & Utilities,Sale,-10.60,
0850,10/03/2019,10/04/2019,Amazon web services,Office & Shipping,Sale,-0.80,
0850,10/02/2019,10/03/2019,8776009454 Wikipedia Gift,Gifts & Donations,Sale,-31.20,
0850,10/02/2019,10/03/2019,HIS*HISCOX INC,Bills & Utilities,Sale,-36.88,
0850,10/02/2019,10/03/2019,GOOGLE *GSUITE_entrepi,Professional Services,Sale,-6.00,
0850,10/01/2019,10/02/2019,NEW JERSEY E-ZPASS,Travel,Sale,-25.00,
0850,09/30/2019,10/02/2019,QUICK CHEK CORPORATION,Gas,Sale,-31.52,
0850,10/01/2019,10/02/2019,DIGITALOCEAN.COM,Office & Shipping,Sale,-6.00,
0850,09/30/2019,10/01/2019,KAM MAN SUPERMARKET,Food & Drink,Sale,-7.94,
0850,09/30/2019,10/01/2019,KAM MAN SUPERMARKET,Food & Drink,Sale,-43.49,
0850,09/27/2019,09/29/2019,RCN*CABLE PHONE INTERN,Bills & Utilities,Sale,-51.65,
0850,09/27/2019,09/29/2019,BARCLAY'S WHIPPANY,Food & Drink,Sale,-10.02,
0850,09/26/2019,09/27/2019,SMART LUNCHES INC.,Food & Drink,Sale,-172.76,
0850,09/25/2019,09/27/2019,PAYPAL *XIAOMI-BJ,Professional Services,Sale,-6.63,
0850,09/26/2019,09/26/2019,AUTOMATIC PAYMENT - THANK,,Payment,27242.87,
0850,09/26/2019,09/26/2019,Amazon Music*2B9J69NE3,Merchandise & Inventory,Sale,-4.25,
0850,09/25/2019,09/25/2019,AMZN Mktp US*V63T10J93,Merchandise & Inventory,Sale,-7.45,
0850,09/25/2019,09/25/2019,aliexpress,Merchandise & Inventory,Sale,-5.32,
0850,09/23/2019,09/24/2019,AMZN Mktp US*QV3B16283,Merchandise & Inventory,Sale,-15.98,
